,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Julio Urias, W (8-6)", 7 ,5,1,1,0,8,1,2.89,27,91,65,34,10,21,8,11,2,0,71,,,0.177, 0.48, 0.05%, 0.24, 2.7,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Caleb Ferguson, 1 ,2,0,0,0,0,0,0.00,5,20,16,13,1,2,4,1,0,0,,0,0,0.008, 0.25, 0.00%, 0.13, 0.5,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Phil Bickford, 1 ,0,0,0,0,2,0,5.04,3,14,10,5,1,4,1,0,0,0,,0,0,0.004, 0.05, 0.00%, 0.03, 0.5,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
