,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Josiah Gray, L (7-6)", 5 ,6,5,5,3,7,3,4.40,23,97,57,27,12,18,8,5,0,0,39,,,-0.268, 0.57, 0.00%, 0.00, -2.6,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Hunter Harvey, 1 ,0,0,0,0,1,0,0.00,3,8,7,3,0,4,1,1,1,0,,0,0,0.014, 0.18, 0.00%, 0.00, 0.5,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Mason Thompson, 1 ,0,0,0,0,0,0,0.00,3,7,3,3,0,0,1,2,2,0,,0,0,0.011, 0.14, 0.00%, 0.00, 0.5,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Cory Abbott, 2 ,2,1,1,0,3,1,3.00,8,35,22,11,5,6,1,4,1,0,,0,0,0.001, 0.06, 0.00%, 0.00, -0.0,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
