,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Patrick Corbin, L (4-14)", 0.2,7,6,6,1,0,0,6.49,10,45,26,20,3,3,2,7,4,0,13,,,-0.390, 1.00, 0.00%, 0.00, -6.0,80° F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
Erasmo Ramirez, 3.1,3,0,0,1,1,0,3.81,12,39,29,16,5,8,4,6,4,0,,2,0,0.032, 0.16, 0.00%, 0.00, 2.0,80° F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
Steve Cishek, 2 ,0,0,0,2,2,0,3.74,7,39,24,13,2,9,2,1,0,0,,0,0,0.008, 0.08, 0.00%, 0.00, 1.0,80° F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
Jordan Weems, 1 ,0,0,0,0,1,0,5.71,3,17,11,4,2,5,1,1,0,0,,0,0,0.003, 0.04, 0.00%, 0.00, 0.5,80° F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
Andres Machado, 1 ,1,1,1,3,1,0,4.74,7,28,14,7,3,4,2,1,0,0,,0,0,-0.003, 0.03, 0.00%, 0.00, -0.5,80° F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
