IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 3 ,1,0,0,0,2,0,4.26,10,39,28,19,1,8,4,4,1,0,59,,,0.132, 0.68, 0.00%, 0.00, 1.5,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
 0.1,4,3,3,0,0,0,6.92,5,15,10,8,1,1,2,3,1,0,,0,0,-0.280, 1.33, 0.00%, 0.00, -3.2,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
 1.2,0,0,0,0,2,0,4.05,6,25,14,7,3,4,2,1,0,0,,1,0,0.145, 1.24, 0.00%, 0.00, 1.2,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
 2 ,1,0,0,1,3,0,3.15,9,36,22,8,7,7,4,1,0,0,,0,0,0.109, 1.44, 0.00%, 0.00, 1.0,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
 1 ,0,0,0,1,0,0,3.82,4,12,6,5,0,1,0,3,0,0,,0,0,0.041, 1.05, 0.00%, 0.00, 0.5,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
 1 ,0,0,0,0,1,0,3.93,3,19,13,10,3,0,0,2,0,0,,0,0,0.014, 0.17, 0.00%, 0.00, 0.5,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
