,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Mikal Bridges,30:54,2.0,7.0,28.6,1.0,1.0,100.0,2.0,2.0,100.0,1.0,4.0,5.0,5.0,0.0,1.0,2.0,1.0,7.0,-18.0,05/12/2022,22.25
Jae Crowder,28:36,2.0,4.0,50.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,9.0,-7.0,05/12/2022,14.5
Deandre Ayton,30:21,10.0,16.0,62.5,0.0,0.0,0.0,1.0,4.0,25.0,2.0,9.0,11.0,1.0,0.0,0.0,2.0,3.0,21.0,-16.0,05/12/2022,35.25
Devin Booker,39:00,6.0,17.0,35.3,0.0,4.0,0.0,7.0,7.0,100.0,2.0,6.0,8.0,3.0,1.0,1.0,8.0,4.0,19.0,-19.0,05/12/2022,33.5
Chris Paul,35:37,4.0,7.0,57.1,3.0,5.0,60.0,2.0,2.0,100.0,1.0,1.0,2.0,4.0,2.0,0.0,5.0,5.0,13.0,-14.0,05/12/2022,24.5
Cameron Johnson,20:22,1.0,5.0,20.0,1.0,3.0,33.3,2.0,2.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,-14.0,05/12/2022,10.75
Landry Shamet,17:22,1.0,6.0,16.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,-14.0,05/12/2022,7.75
Bismack Biyombo,14:26,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,-13.0,05/12/2022,7.75
Torrey Craig,15:20,3.0,6.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,-6.0,05/12/2022,11.0
Cameron Payne,4:01,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-7.0,05/12/2022,0.75
Ish Wainright,4:01,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,05/12/2022,3.25
