,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Mikal Bridges,27:18,5.0,10.0,50.0,3.0,5.0,60.0,1.0,1.0,100.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,14.0,7.0,10/10/2022,Denver Nuggets,27.25
Torrey Craig,19:51,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,1.0,3.0,3.0,4.0,10/10/2022,Denver Nuggets,15.0
Deandre Ayton,27:26,9.0,12.0,75.0,0.0,0.0,0.0,1.0,3.0,33.3,2.0,9.0,11.0,1.0,3.0,1.0,0.0,2.0,19.0,3.0,10/10/2022,Denver Nuggets,42.25
Devin Booker,28:19,5.0,17.0,29.4,2.0,9.0,22.2,8.0,8.0,100.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,20.0,4.0,10/10/2022,Denver Nuggets,30.75
Chris Paul,28:57,1.0,4.0,25.0,1.0,2.0,50.0,3.0,3.0,100.0,0.0,5.0,5.0,8.0,1.0,0.0,1.0,2.0,6.0,0.0,10/10/2022,Denver Nuggets,26.25
Damion Lee,22:22,3.0,5.0,60.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,10.0,-3.0,10/10/2022,Denver Nuggets,13.75
Duane Washington Jr.,19:03,3.0,10.0,30.0,2.0,6.0,33.3,2.0,2.0,100.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,10.0,-2.0,10/10/2022,Denver Nuggets,22.0
Jock Landale,20:34,4.0,10.0,40.0,1.0,4.0,25.0,1.0,2.0,50.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,10.0,-5.0,10/10/2022,Denver Nuggets,23.0
Josh Okogie,14:44,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,-5.0,10/10/2022,Denver Nuggets,2.25
Timothe Luwawu-Cabarrot,19:07,2.0,3.0,66.7,0.0,1.0,0.0,4.0,4.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,8.0,-9.0,10/10/2022,Denver Nuggets,12.75
Ish Wainright,7:22,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,-3.0,10/10/2022,Denver Nuggets,4.0
Frank Jackson,4:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,10/10/2022,Denver Nuggets,0.0
