,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Mikal Bridges,38:55,5.0,6.0,83.3,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,0.0,0.0,1.0,11.0,31.0,05/04/2022,28.25
Jae Crowder,29:25,4.0,7.0,57.1,3.0,5.0,60.0,4.0,5.0,80.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,1.0,15.0,15.0,05/04/2022,33.25
Deandre Ayton,18:29,3.0,6.0,50.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,9.0,12.0,05/04/2022,11.25
Devin Booker,35:32,11.0,19.0,57.9,5.0,8.0,62.5,3.0,3.0,100.0,1.0,3.0,4.0,4.0,0.0,1.0,2.0,4.0,30.0,21.0,05/04/2022,44.5
Chris Paul,36:13,11.0,16.0,68.8,1.0,2.0,50.0,5.0,5.0,100.0,0.0,6.0,6.0,8.0,1.0,0.0,3.0,2.0,28.0,19.0,05/04/2022,48.5
Cameron Johnson,17:14,3.0,6.0,50.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,9.0,19.0,05/04/2022,14.0
Cameron Payne,11:59,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,-10.0,05/04/2022,12.0
JaVale McGee,9:50,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,5.0,6.0,-3.0,05/04/2022,15.0
Landry Shamet,14:32,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,05/04/2022,8.75
Ish Wainright,6:02,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-10.0,05/04/2022,3.0
Bismack Biyombo,18:21,4.0,4.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,9.0,12.0,05/04/2022,14.75
Torrey Craig,3:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-7.0,05/04/2022,2.75
