,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Mikal Bridges,41:15,4.0,11.0,36.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,0.0,1.0,0.0,3.0,8.0,-15.0,04/24/2022,25.0
Jae Crowder,29:29,3.0,7.0,42.9,1.0,3.0,33.3,4.0,6.0,66.7,1.0,4.0,5.0,5.0,2.0,0.0,2.0,5.0,11.0,-9.0,04/24/2022,28.25
Deandre Ayton,32:50,11.0,14.0,78.6,0.0,0.0,0.0,1.0,2.0,50.0,2.0,6.0,8.0,1.0,0.0,1.0,2.0,3.0,23.0,-11.0,04/24/2022,35.5
Cameron Johnson,31:52,4.0,12.0,33.3,3.0,7.0,42.9,2.0,2.0,100.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,4.0,13.0,-19.0,04/24/2022,25.25
Chris Paul,34:59,2.0,8.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,11.0,2.0,0.0,3.0,4.0,4.0,-14.0,04/24/2022,26.75
Landry Shamet,19:41,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,-8.0,04/24/2022,9.75
Cameron Payne,17:34,3.0,10.0,30.0,0.0,5.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,8.0,-2.0,04/24/2022,10.5
Torrey Craig,9:58,2.0,5.0,40.0,1.0,2.0,50.0,1.0,2.0,50.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,-2.0,04/24/2022,15.0
JaVale McGee,12:46,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,14.0,-7.0,04/24/2022,20.5
Aaron Holiday,2:24,3.0,3.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,04/24/2022,10.5
Elfrid Payton,2:24,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,04/24/2022,3.5
Bismack Biyombo,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,04/24/2022,3.0
Ish Wainright,2:24,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,04/24/2022,3.25
