,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
George Springer CF,4,0,0,0,0,2,4,.255,.332,.475,.808,14,12,-0.079, 0.76,0.000,-0.079%,-0.04%, 0.67, -1.1,4,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Vladimir Guerrero Jr. 1B,4,1,2,0,0,1,4,.282,.353,.499,.852,15,12,0.064, 0.74,0.083,-0.019%, 0.03%, 0.65, 0.3,4,1,"2B,SB",73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Alejandro Kirk DH,4,0,0,0,0,2,4,.312,.390,.484,.874,15,12,-0.114, 0.78,0.000,-0.114%,-0.06%, 0.69, -1.4,,,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Bo Bichette SS,4,0,1,1,0,2,4,.259,.305,.420,.725,16,10,0.075, 0.62,0.104,-0.029%, 0.04%, 0.55, 0.4,0,2,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Teoscar Hernandez RF,3,0,0,0,0,0,3,.277,.329,.489,.818,8,6,-0.060, 0.74,0.000,-0.060%,-0.03%, 0.65, -0.7,3,2,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Cavan Biggio 2B,3,0,0,0,0,2,3,.226,.351,.370,.720,11,7,-0.033, 0.42,0.000,-0.033%,-0.02%, 0.38, -0.5,2,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Matt Chapman 3B,3,0,1,0,0,2,3,.241,.317,.446,.763,17,10,-0.015, 0.52,0.016,-0.031%,-0.01%, 0.46, -0.1,2,2,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Danny Jansen C,3,0,0,0,0,0,3,.235,.300,.580,.880,8,6,-0.047, 0.62,0.000,-0.047%,-0.03%, 0.55, -0.7,11,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Raimel Tapia LF,3,0,1,0,0,0,3,.286,.309,.416,.725,18,15,-0.005, 0.37,0.013,-0.018%,-0.00%, 0.33, -0.1,1,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Kevin Gausman P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   Trevor Richards P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   Jeremy Beasley P,,,,,,,,,,,,,,,,,,,,,0,1,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   Anthony Banda P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   David Phelps P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
