,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Harrison Barnes,30:03,3.0,5.0,60.0,2.0,2.0,100.0,2.0,4.0,50.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,10.0,-21.0,12/20/2023,Boston Celtics,20.5,LAC @ DAL
Keegan Murray,26:16,5.0,11.0,45.5,3.0,7.0,42.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,13.0,-23.0,12/20/2023,Boston Celtics,15.25,LAC @ DAL
Domantas Sabonis,26:22,6.0,14.0,42.9,0.0,1.0,0.0,1.0,4.0,25.0,5.0,5.0,10.0,8.0,0.0,1.0,1.0,2.0,13.0,-25.0,12/20/2023,Boston Celtics,39.0,LAC @ DAL
Kevin Huerter,16:11,3.0,5.0,60.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,-7.0,12/20/2023,Boston Celtics,8.75,LAC @ DAL
De'Aaron Fox,26:28,9.0,16.0,56.3,6.0,8.0,75.0,5.0,6.0,83.3,2.0,1.0,3.0,3.0,3.0,0.0,3.0,4.0,29.0,-19.0,12/20/2023,Boston Celtics,44.75,LAC @ DAL
Malik Monk,25:03,3.0,10.0,30.0,0.0,4.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,10.0,-7.0,12/20/2023,Boston Celtics,19.5,LAC @ DAL
Keon Ellis,19:24,4.0,7.0,57.1,4.0,7.0,57.1,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,12.0,2.0,12/20/2023,Boston Celtics,28.5,LAC @ DAL
Trey Lyles,26:37,4.0,7.0,57.1,3.0,6.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,1.0,0.0,1.0,11.0,-19.0,12/20/2023,Boston Celtics,25.25,LAC @ DAL
Sasha Vezenkov,13:10,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12/20/2023,Boston Celtics,7.25,LAC @ DAL
JaVale McGee,11:51,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,4.0,3.0,12/20/2023,Boston Celtics,16.75,LAC @ DAL
Kessler Edwards,6:11,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,12/20/2023,Boston Celtics,10.0,LAC @ DAL
Chris Duarte,4:42,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,12/20/2023,Boston Celtics,1.25,LAC @ DAL
Davion Mitchell,4:42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,12/20/2023,Boston Celtics,1.5,LAC @ DAL
Juan Toscano-Anderson,3:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,12/20/2023,Boston Celtics,1.5,LAC @ DAL
