,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Toumani Camara,21:31,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,3.0,1.0,2.0,3.0,5.0,-8.0,12/19/2023,Phoenix Suns,23.75,LAC @ DAL
Jerami Grant,35:34,8.0,15.0,53.3,3.0,4.0,75.0,3.0,3.0,100.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,2.0,22.0,-10.0,12/19/2023,Phoenix Suns,33.75,LAC @ DAL
Deandre Ayton,40:26,6.0,18.0,33.3,0.0,0.0,0.0,4.0,4.0,100.0,4.0,11.0,15.0,3.0,0.0,0.0,3.0,3.0,16.0,7.0,12/19/2023,Phoenix Suns,37.75,LAC @ DAL
Shaedon Sharpe,8:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12/19/2023,Phoenix Suns,1.25,LAC @ DAL
Anfernee Simons,37:45,9.0,23.0,39.1,2.0,7.0,28.6,3.0,5.0,60.0,0.0,3.0,3.0,7.0,1.0,0.0,1.0,2.0,23.0,4.0,12/19/2023,Phoenix Suns,39.75,LAC @ DAL
Scoot Henderson,29:33,3.0,9.0,33.3,0.0,2.0,0.0,3.0,3.0,100.0,1.0,3.0,4.0,5.0,0.0,0.0,5.0,4.0,9.0,-5.0,12/19/2023,Phoenix Suns,19.0,LAC @ DAL
Malcolm Brogdon,32:29,5.0,10.0,50.0,4.0,9.0,44.4,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,14.0,9.0,12/19/2023,Phoenix Suns,26.5,LAC @ DAL
Duop Reath,4:06,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,-3.0,12/19/2023,Phoenix Suns,7.5,LAC @ DAL
Matisse Thybulle,20:51,2.0,3.0,66.7,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,8.0,17.0,12/19/2023,Phoenix Suns,18.25,LAC @ DAL
Jabari Walker,9:32,3.0,3.0,100.0,1.0,1.0,100.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,13.0,12/19/2023,Phoenix Suns,12.0,LAC @ DAL
