,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jerami Grant,22:33,6.0,11.0,54.5,2.0,3.0,66.7,4.0,5.0,80.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,18.0,-24.0,01/05/2024,Dallas Mavericks,32.25,OKC @ BKN
Toumani Camara,24:13,4.0,10.0,40.0,2.0,7.0,28.6,0.0,1.0,0.0,1.0,6.0,7.0,1.0,1.0,0.0,2.0,2.0,10.0,-11.0,01/05/2024,Dallas Mavericks,22.25,OKC @ BKN
Duop Reath,26:53,7.0,12.0,58.3,1.0,3.0,33.3,1.0,2.0,50.0,4.0,3.0,7.0,2.0,0.0,0.0,3.0,3.0,16.0,-16.0,01/05/2024,Dallas Mavericks,26.75,OKC @ BKN
Anfernee Simons,23:03,1.0,8.0,12.5,1.0,4.0,25.0,3.0,3.0,100.0,0.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,6.0,-14.0,01/05/2024,Dallas Mavericks,17.75,OKC @ BKN
Scoot Henderson,33:13,7.0,15.0,46.7,3.0,7.0,42.9,0.0,0.0,0.0,1.0,2.0,3.0,10.0,1.0,0.0,1.0,0.0,17.0,-26.0,01/05/2024,Dallas Mavericks,38.75,OKC @ BKN
Ibou Badji,17:43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,-19.0,01/05/2024,Dallas Mavericks,3.5,OKC @ BKN
Matisse Thybulle,13:41,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,-14.0,01/05/2024,Dallas Mavericks,6.5,OKC @ BKN
Malcolm Brogdon,16:24,2.0,8.0,25.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,4.0,-16.0,01/05/2024,Dallas Mavericks,12.75,OKC @ BKN
Shaedon Sharpe,23:41,5.0,15.0,33.3,1.0,6.0,16.7,4.0,4.0,100.0,1.0,4.0,5.0,2.0,0.0,1.0,2.0,2.0,15.0,-11.0,01/05/2024,Dallas Mavericks,25.75,OKC @ BKN
Kris Murray,20:02,4.0,8.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,10.0,-17.0,01/05/2024,Dallas Mavericks,21.0,OKC @ BKN
Rayan Rupert,18:34,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,7.0,-12.0,01/05/2024,Dallas Mavericks,10.25,OKC @ BKN
