,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Chris Bassitt, W (7-6)", 6 ,5,1,1,2,6,1,3.79,24,99,66,36,17,13,8,8,4,0,62,,,0.233, 0.76, 0.22%, 1.19, 2.3,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Drew Smith, 2 ,2,1,1,0,5,1,3.05,8,30,22,8,9,5,0,3,1,0,,0,0,0.018, 0.18, 0.02%, 0.28, 0.1,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Tommy Hunter, 1 ,1,1,1,0,2,1,3.00,4,10,8,3,3,2,1,1,0,0,,0,0,0.009, 0.26, 0.01%, 0.41, -0.5,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
