,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Taijuan Walker, 6 ,4,1,1,2,5,0,2.55,23,95,62,40,7,15,7,9,3,0,63,,,0.225, 1.13, 0.13%, 1.05, 2.1,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
Seth Lugo, 1 ,1,0,0,1,1,0,3.86,4,24,11,4,3,4,2,0,0,0,,0,0,0.089, 2.23, 0.05%, 2.09, 0.5,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
Drew Smith, 1 ,0,0,0,0,2,0,2.97,3,11,8,4,3,1,0,1,1,0,,0,0,0.108, 1.42, 0.06%, 1.32, 0.5,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
"Adam Ottavino, W (4-2)", 2 ,0,0,0,0,3,0,2.52,6,24,16,5,4,7,2,0,0,0,,0,0,0.452, 3.03, 0.25%, 2.83, 1.6,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
"Edwin Díaz, S (20)", 1 ,0,0,0,0,2,0,1.69,3,10,8,5,2,1,1,0,0,0,,0,0,0.448, 5.06, 0.25%, 4.72, 1.1,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
