IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 5 ,3,1,0,3,8,0,3.24,21,97,59,31,15,13,6,4,3,0,64,,,0.168, 1.50, 0.09%, 1.36, 1.6,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
 2 ,1,0,0,0,0,0,2.45,6,17,12,11,0,1,3,3,0,0,,0,0,0.198, 1.52, 0.11%, 1.38, 1.0,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
 0.2,3,2,2,0,0,0,3.38,5,25,15,10,1,4,3,2,1,0,,0,0,-0.551, 3.06,-0.30%, 2.77, -1.8,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
 0.1,0,0,0,0,0,0,3.82,1,9,6,4,0,2,0,1,1,0,,1,0,0.023, 0.81, 0.01%, 0.73, 0.3,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
