,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Mike Minor, 4 ,5,5,1,3,6,0,6.21,21,91,56,29,5,22,1,11,3,0,43,,,-0.317, 1.20,-0.00%, 0.02, -2.9,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Buck Farmer, 2 ,0,0,0,0,4,0,5.40,6,31,19,4,6,9,1,1,1,0,,0,0,0.165, 1.07, 0.00%, 0.02, 1.0,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
"Joel Kuhnel, H (2)", 1 ,0,0,0,0,1,0,6.58,3,15,12,7,2,3,2,0,0,0,,0,0,0.110, 1.43, 0.00%, 0.02, 0.5,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
"Ian Gibaut, BS (1)", 1 ,1,1,1,0,3,1,4.76,4,18,12,6,2,4,0,1,0,0,,0,0,-0.188, 1.69,-0.00%, 0.03, -0.5,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Hunter Strickland, 1 ,0,0,0,0,1,0,4.83,3,9,6,4,0,2,0,2,0,0,,0,0,0.142, 1.84, 0.00%, 0.03, 0.5,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
"Alexis Diaz, L (2-1)", 0.1,0,1,0,1,1,0,2.16,2,9,5,1,2,2,0,0,0,0,,0,0,-0.186, 3.52,-0.00%, 0.06, -0.8,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
