,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Chris Archer, L (2-5)", 3 ,3,6,6,6,2,1,4.04,17,78,36,20,5,11,3,6,2,0,25,,,-0.307, 1.12,-0.18%, 1.09, -3.3,74° F, Wind 0mph, In Dome.
Jharel Cotton, 1 ,1,2,2,1,1,1,3.16,5,33,18,14,3,1,0,3,1,0,,3,3,-0.191, 1.71,-0.11%, 1.67, -2.6,74° F, Wind 0mph, In Dome.
Yennier Cano, 2 ,3,2,2,2,2,1,9.22,11,46,28,15,7,6,3,4,2,0,,0,0,-0.024, 0.06,-0.01%, 0.06, -1.0,74° F, Wind 0mph, In Dome.
Trevor Megill, 1 ,0,0,0,0,1,0,2.11,3,10,7,3,2,2,2,0,0,0,,0,0,0.002, 0.02, 0.00%, 0.02, 0.5,74° F, Wind 0mph, In Dome.
Jovani Moran, 1 ,1,0,0,1,0,0,2.21,5,21,12,7,0,5,4,0,0,0,,0,0,0.001, 0.01, 0.00%, 0.01, 0.5,74° F, Wind 0mph, In Dome.
