,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Devin Smeltzer, 3 ,5,2,2,2,1,0,4.02,16,67,40,23,3,14,7,6,2,0,40,,,-0.042, 1.32,-0.03%, 1.55, -0.5,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Emilio Pagan, L (3-4)", 1 ,1,1,1,0,2,1,5.12,4,12,9,5,2,2,0,2,0,0,,0,0,-0.073, 0.70,-0.05%, 0.82, -0.5,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Tyler Duffey, 1.1,0,0,0,0,0,0,3.99,4,11,8,7,0,1,3,1,0,0,,0,0,0.079, 0.78, 0.06%, 0.91, 0.8,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Caleb Thielbar, 1 ,0,0,0,0,1,0,4.98,3,7,6,3,0,3,0,2,0,0,,0,0,0.056, 0.74, 0.04%, 0.86, 0.5,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Griffin Jax, 0.2,2,3,3,1,1,1,3.27,5,20,12,7,1,4,2,1,0,0,,0,0,-0.262, 0.87,-0.18%, 1.02, -2.7,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Jovani Moran, 2 ,0,0,0,0,4,0,1.00,6,26,19,7,6,6,1,1,0,0,,0,0,0.012, 0.07, 0.01%, 0.09, 1.0,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
