IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 4.2,5,4,4,1,5,0,3.41,20,68,42,22,12,8,5,9,5,0,42,,,-0.043, 0.86,-0.03%, 0.98, -0.1,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 0.1,1,0,0,0,0,0,3.96,2,8,6,5,0,1,1,1,1,0,,2,2,-0.120, 1.00,-0.08%, 1.14, -1.4,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 1 ,1,0,0,0,1,0,4.84,4,11,10,7,2,1,0,3,2,0,,0,0,0.016, 0.28, 0.01%, 0.32, 0.5,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 0.1,5,6,6,1,0,3,4.88,7,25,17,11,1,5,2,4,2,0,,0,0,-0.057, 0.14,-0.04%, 0.16, -5.8,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 0.2,0,0,0,1,1,0,0.96,3,10,6,1,2,3,1,0,0,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.3,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 1 ,1,0,0,1,0,0,2.76,5,28,16,11,3,2,1,3,2,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 1 ,3,1,1,0,3,0,5.23,6,20,16,8,3,5,0,3,2,0,,0,0,0.000, 0.00, 0.00%, 0.00, -0.5,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
