,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/13/2011,HOU,NYK @ BOS,L,240,102,41,92,44.6,4,13,30.8,16,21,76.2,12,30,42,20,9,2,15,22,-19
04/11/2011,PHX,TOR @ MIL,L,265,127,52,95,54.7,7,16,43.8,16,20,80.0,13,32,45,21,7,3,17,16,-8
04/09/2011,DEN,TOR @ MIL,L,240,106,39,85,45.9,11,32,34.4,17,20,85.0,7,31,38,22,5,6,15,24,-24
04/06/2011,PHX,DEN @ OKC,L,240,98,38,87,43.7,6,13,46.2,16,18,88.9,9,29,38,20,11,3,14,16,-10
04/05/2011,NJN,DEN @ OKC,L,240,105,39,79,49.4,8,15,53.3,19,27,70.4,11,35,46,23,3,5,18,19,-2
04/02/2011,MEM,PHX @ CHI,L,240,89,35,72,48.6,6,19,31.6,13,16,81.3,7,27,34,19,8,8,26,23,-17
04/01/2011,MIA,PHX @ CHI,L,240,92,34,81,42.0,10,23,43.5,14,19,73.7,7,24,31,16,7,3,15,24,-19
03/30/2011,CHI,MEM @ NOH,L,240,91,35,85,41.2,5,17,29.4,16,21,76.2,7,27,34,12,7,1,8,14,-17
03/27/2011,BOS,CLE @ CHA,L,240,82,30,80,37.5,7,17,41.2,15,23,65.2,17,32,49,16,5,10,14,22,-3
03/25/2011,OKC,NYK @ CHA,L,240,103,40,84,47.6,6,10,60.0,17,20,85.0,12,28,40,19,8,5,20,21,-8
03/24/2011,DAL,NYK @ CHA,L,240,96,39,80,48.8,8,18,44.4,10,12,83.3,7,31,38,21,5,3,18,19,-8
03/20/2011,SAC,IND @ CHA,L,240,95,35,79,44.3,7,17,41.2,18,24,75.0,5,22,27,20,7,3,25,20,-32
03/18/2011,LAL,PHI @ POR,L,240,98,39,88,44.3,7,21,33.3,13,18,72.2,17,28,45,24,12,3,17,19,-8
