,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Harrison Barnes,28:54,4.0,7.0,57.1,1.0,3.0,33.3,4.0,7.0,57.1,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,13.0,5.0,11/24/2021,Portland Trail Blazers,18.25
Maurice Harkless,24:18,5.0,9.0,55.6,1.0,4.0,25.0,1.0,2.0,50.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,12.0,8.0,11/24/2021,Portland Trail Blazers,19.0
Alex Len,17:14,5.0,6.0,83.3,1.0,2.0,50.0,1.0,1.0,100.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,12.0,14.0,11/24/2021,Portland Trail Blazers,21.25
Tyrese Haliburton,32:46,2.0,9.0,22.2,1.0,6.0,16.7,1.0,2.0,50.0,1.0,3.0,4.0,6.0,3.0,1.0,2.0,0.0,6.0,5.0,11/24/2021,Portland Trail Blazers,27.5
De'Aaron Fox,27:29,8.0,13.0,61.5,1.0,3.0,33.3,4.0,4.0,100.0,0.0,2.0,2.0,6.0,1.0,0.0,5.0,3.0,21.0,5.0,11/24/2021,Portland Trail Blazers,32.5
Tristan Thompson,12:24,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,2.0,4.0,-16.0,11/24/2021,Portland Trail Blazers,15.5
Buddy Hield,29:45,6.0,15.0,40.0,5.0,11.0,45.5,5.0,6.0,83.3,0.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,22.0,2.0,11/24/2021,Portland Trail Blazers,30.0
Davion Mitchell,30:08,6.0,11.0,54.5,0.0,1.0,0.0,4.0,6.0,66.7,2.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,16.0,-8.0,11/24/2021,Portland Trail Blazers,23.0
Marvin Bagley III,18:40,4.0,6.0,66.7,2.0,3.0,66.7,0.0,1.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,2.0,3.0,10.0,-1.0,11/24/2021,Portland Trail Blazers,20.0
Damian Jones,18:22,3.0,5.0,60.0,0.0,0.0,0.0,3.0,5.0,60.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,4.0,9.0,6.0,11/24/2021,Portland Trail Blazers,18.25
